browser position chr1:897730-248813972
browser hide all
track name="event_density" description=" " visibility=dense useScore=1
chr1 203743653 204436066 row1 200.0 + 203743653 204436066
chr1 204587569 204589101 row1 200.0 + 204587569 204589101
chr1 248525053 248525330 row2 200.0 + 248525053 248525330
chr1 201383643 201383643 row3 200.0 + 201383643 201383643
chr1 248112627 248112627 row4 200.0 + 248112627 248112627
chr1 248813972 248813972 row5 200.0 + 248813972 248813972
chr1 65860687 65860687 row6 200.0 + 65860687 65860687
chr1 144931067 144931067 row7 200.0 + 144931067 144931067
chr1 243354791 243354791 row8 200.0 + 243354791 243354791
chr1 148252049 148252049 row9 200.0 + 148252049 148252049
chr1 248224578 248224586 row10 200.0 + 248224578 248224586
chr1 897730 1421991 row11 200.0 + 897730 1421991
chr1 1431109 1638994 row12 200.0 + 1431109 1638994
chr1 1847979 1896333 row13 200.0 + 1847979 1896333
chr1 3686415 3807388 row14 200.0 + 3686415 3807388
chr1 9030964 9324670 row15 200.0 + 9030964 9324670
chr1 12164437 12820870 row16 200.0 + 12164437 12820870
chr1 13718602 15546077 row17 200.0 + 13718602 15546077
chr1 16373124 16374994 row18 200.0 + 16373124 16374994
chr1 17609448 19201956 row19 200.0 + 17609448 19201956
chr1 21943820 22174426 row20 200.0 + 21943820 22174426
chr1 22965687 24668667 row21 200.0 + 22965687 24668667
chr1 26582091 28282309 row22 200.0 + 26582091 28282309
chr1 32084904 34238283 row23 200.0 + 32084904 34238283
chr1 36354185 39950377 row24 200.0 + 36354185 39950377
chr1 39988690 40228263 row25 200.0 + 39988690 40228263
chr1 40235710 43893099 row26 200.0 + 40235710 43893099
chr1 44447413 47395973 row27 200.0 + 44447413 47395973
chr1 47607281 47611598 row28 200.0 + 47607281 47611598
chr1 52991638 53153432 row29 200.0 + 52991638 53153432
chr1 54661262 55136529 row30 200.0 + 54661262 55136529
chr1 57209695 59002221 row31 200.0 + 57209695 59002221
chr1 60392271 60506744 row32 200.0 + 60392271 60506744
chr1 62579891 62960101 row33 200.0 + 62579891 62960101
chr1 248458717 248458717 row34 200.0 + 248458717 248458717
chr1 161565381 161569419 row35 200.0 + 161565381 161569419
chr1 248343990 248343990 row36 200.0 + 248343990 248343990
