browser position chr14:19378030-107178965
browser hide all
track name="P-VERA-MJ-G.csv" description=" " visibility=dense itemRgb="on"
chr14 107170219 107170219 row1 0 + 107170219 107170219 205,201,201
chr14 21526079 21526080 row1 0 + 21526079 21526080 255,165,0
chr14 24760764 24760765 row2 0 + 24760764 24760765 255,0,0
chr14 73716774 73716775 row3 0 + 73716774 73716775 0,100,0
chr14 105412009 105412010 row4 0 + 105412009 105412010 255,0,0
chr14 106173790 106173791 row5 0 + 106173790 106173791 0,100,0
chr14 106805381 106805382 row6 0 + 106805381 106805382 50,205,50
chr14 107170055 107170056 row7 0 + 107170055 107170056 0,100,0
chr14 107170077 107170078 row8 0 + 107170077 107170078 0,100,0
chr14 107170219 107170220 row9 0 + 107170219 107170220 0,100,0
chr14 107170219 107170219 row1 0 + 107170219 107170219 205,201,201
